epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,754.059,0.95076,1.01471,0.87194,0.00677,0.38925,0.77566,0.5051,0.59175,0.40003,0.82567,0.52346,0.61513,0.37066,1.38758,1.38158,1.78266,0.00811,0,0.000385073,0.000385073,0.000385073
68,764.997,0.96377,0.9889,0.84603,0.00636,0.37917,0.79624,0.48646,0.58366,0.40555,0.81783,0.49896,0.60248,0.3586,1.43564,1.27401,1.99646,0.0087,0,0.000374074,0.000374074,0.000374074
69,775.889,0.97359,0.97687,0.86167,0.00689,0.34992,0.82242,0.46875,0.76981,0.60179,0.85582,0.48291,0.78859,0.43252,1.32886,1.23944,2.20995,0.00792,0,0.000363075,0.000363075,0.000363075
70,786.885,0.93615,1.0048,0.87398,0.00674,0.35983,0.79395,0.47466,0.61332,0.45187,0.81279,0.48668,0.623,0.35667,1.31509,1.29819,2.18987,0.0082,0,0.000352076,0.000352076,0.000352076
71,797.837,0.90497,0.96424,0.77838,0.00644,0.36796,0.69106,0.66875,0.71562,0.50886,0.70962,0.68125,0.7273,0.39608,1.35537,1.2872,2.62056,0.0083,0,0.000341077,0.000341077,0.000341077
72,808.695,0.95354,0.97623,0.81647,0.00643,0.36932,0.57125,0.78484,0.7087,0.57292,0.5871,0.79734,0.71999,0.41175,1.36317,1.27554,2.47879,0.00839,0,0.000330078,0.000330078,0.000330078
73,819.531,0.94427,1.01217,0.85082,0.00639,0.37805,0.42517,0.77171,0.63871,0.52098,0.43451,0.7635,0.65044,0.43264,1.14993,1.42875,1.97788,0.00682,0,0.000319079,0.000319079,0.000319079
74,830.278,0.91416,0.93038,0.78373,0.00639,0.36107,0.83455,0.55906,0.63924,0.4596,0.85939,0.57149,0.65565,0.40137,1.27091,1.34987,1.89432,0.00737,0,0.00030808,0.00030808,0.00030808
75,841.228,0.89808,0.94248,0.83133,0.00646,0.36311,0.83896,0.56875,0.62956,0.46186,0.87639,0.59375,0.65593,0.38145,1.27803,1.27426,1.96389,0.00772,0,0.000297081,0.000297081,0.000297081
76,852.348,0.9284,0.96999,0.78042,0.00665,0.32982,0.74773,0.54168,0.57881,0.47731,0.83171,0.51239,0.59543,0.41433,1.12552,1.27303,2.07008,0.00646,0,0.000286083,0.000286083,0.000286083
